1100, ([2.3333333333333335, 1.247219128924647], [24.36408380969293, 12.21269955426799])
125, ([1.6666666666666667, 0.4714045207910317], [159.63611122314754, 101.73431175978523])
133, ([2, 0.816496580927726], [84.49750191421298, 4.926098810981119])
1757, ([3.3333333333333335, 0.9428090415820634], [20.755007645565385, 1.1238748245422692])
176, ([2, 0.0], [34.608317699617594, 0.0])
1768, ([1.3333333333333333, 0.4714045207910317], [47.0579637856976, 7.554933064052935])
177, ([2, 0.0], [35.638746869728244, 0.0])
195, ([3.3333333333333335, 0.4714045207910317], [43.348851978522376, 0.0354596508149293])
230, ([2, 0.0], [25.291016797434544, 0.0])
319, ([2, 0.816496580927726], [74.96349492218842, 28.965510953278493])
3205, ([3, 0.816496580927726], [29.116884034680517, 9.524561606112867])
3467, ([1.6666666666666667, 0.9428090415820634], [11.920643561133913, 7.668535378241951])
4909, (, [29.462837742886077, 19.301559209620393])
5687, ([1.3333333333333333, 0.4714045207910317], [83.83810107335091, 8.059469718158718])
6328, ([1.3333333333333333, 0.4714045207910317], [42.18443740281043, 11.084946259387836])
6329, ([2, 0.0], [189.53195675368872, 93.11733366598132])
7407, ([1.3333333333333333, 0.4714045207910317], [97.57323091009711, 56.96730421244449])
88, ([1.3333333333333333, 0.4714045207910317], [19.8015541094724, 26.24561717004093])
95, ([1, 0.0], [97.09830983101237, 0.015905035260544865])
